# Tetrahedron method
       -0.7714817358        0.0000000000
       -0.7249140502        0.0000000000
       -0.6783463646        0.0000000000
       -0.6317786789        0.0000000000
       -0.5852109933        0.0000000000
       -0.5386433076        0.0000000000
       -0.4920756220        0.0000000000
       -0.4455079363        0.0000000000
       -0.3989402507        0.0000000000
       -0.3523725650        0.0000000000
       -0.3058048794        0.0000000000
       -0.2592371937        0.0000000000
       -0.2126695081        0.0000000000
       -0.1661018225        0.0000000000
       -0.1195341368        0.0000000000
       -0.0729664512        0.0000000000
       -0.0263987655        0.0000000000
        0.0201689201        0.0000745749
        0.0667366058        0.0013958164
        0.1133042914        0.0098107633
        0.1598719771        0.0105044019
        0.2064396627        0.0135434119
        0.2530073483        0.0175693182
        0.2995750340        0.0221111781
        0.3461427196        0.0255218571
        0.3927104053        0.0286827164
        0.4392780909        0.0331649817
        0.4858457766        0.0374613609
        0.5324134622        0.0409722388
        0.5789811479        0.0446288832
        0.6255488335        0.0489861872
        0.6721165191        0.0529930259
        0.7186842048        0.0572385537
        0.7652518904        0.0616688084
        0.8118195761        0.0674074294
        0.8583872617        0.0771091205
        0.9049549474        0.0918458133
        0.9515226330        0.1002365779
        0.9980903187        0.1108697630
        1.0446580043        0.1212996227
        1.0912256899        0.1339795280
        1.1377933756        0.1450091902
        1.1843610612        0.1585333747
        1.2309287469        0.1716912497
        1.2774964325        0.1891876573
        1.3240641182        0.2080050644
        1.3706318038        0.2242823242
        1.4171994895        0.2501133491
        1.4637671751        0.2789056419
        1.5103348608        0.3175340239
        1.5569025464        0.3940492727
        1.6034702320        0.4087414910
        1.6500379177        0.4158215673
        1.6966056033        0.4232796798
        1.7431732890        0.4371720006
        1.7897409746        0.4462011419
        1.8363086603        0.4623847212
        1.8828763459        0.4776048851
        1.9294440316        0.4971529985
        1.9760117172        0.5224434209
        2.0225794028        0.5422918240
        2.0691470885        0.5935597064
        2.1157147741        0.6642956868
        2.1622824598        0.9130162521
        2.2088501454        0.6977349135
        2.2554178311        0.6129782222
        2.3019855167        0.5247940152
        2.3485532024        0.5046240934
        2.3951208880        0.4868918299
        2.4416885736        0.4701409326
        2.4882562593        0.4535643123
        2.5348239449        0.4410334707
        2.5813916306        0.4174585850
        2.6279593162        0.4094115186
        2.6745270019        0.4043561555
        2.7210946875        0.3998299030
        2.7676623732        0.3954311280
        2.8142300588        0.3910928702
        2.8607977444        0.3864628855
        2.9073654301        0.3824346950
        2.9539331157        0.3767227801
        3.0005008014        0.3705372670
        3.0470684870        0.3687302092
        3.0936361727        0.3670359753
        3.1402038583        0.3654431752
        3.1867715440        0.3639080094
        3.2333392296        0.3625565566
        3.2799069153        0.3614750647
        3.3264746009        0.3607728629
        3.3730422865        0.3601311517
        3.4196099722        0.3589265861
        3.4661776578        0.3582802262
        3.5127453435        0.3589381778
        3.5593130291        0.3598351336
        3.6058807148        0.3609554141
        3.6524484004        0.3623479010
        3.6990160861        0.3638934015
        3.7455837717        0.3656444985
        3.7921514573        0.3677232764
        3.8387191430        0.3700711100
        3.8852868286        0.3727090498
        3.9318545143        0.3755331324
        3.9784221999        0.3793277941
        4.0249898856        0.3835380147
        4.0715575712        0.3882825195
        4.1181252569        0.3937797284
        4.1646929425        0.3999018185
        4.2112606281        0.4067531770
        4.2578283138        0.4148525805
        4.3043959994        0.4248013591
        4.3509636851        0.4368674134
        4.3975313707        0.4539631714
        4.4440990564        0.4910829837
        4.4906667420        0.4925295800
        4.5372344277        0.4887556296
        4.5838021133        0.4860952662
        4.6303697989        0.4835446305
        4.6769374846        0.4814077463
        4.7235051702        0.4798391955
        4.7700728559        0.4780002235
        4.8166405415        0.4766717485
        4.8632082272        0.4758141194
        4.9097759128        0.4752453767
        4.9563435985        0.4748251868
        5.0029112841        0.4743994029
        5.0494789698        0.4742217672
        5.0960466554        0.4742307651
        5.1426143410        0.4744169363
        5.1891820267        0.4746077871
        5.2357497123        0.4750102321
        5.2823173980        0.4758009619
        5.3288850836        0.4769154710
        5.3754527693        0.4782617835
        5.4220204549        0.4798717931
        5.4685881406        0.4815469774
        5.5151558262        0.4831672370
        5.5617235118        0.4850875578
        5.6082911975        0.4873332043
        5.6548588831        0.4898109583
        5.7014265688        0.4925062984
        5.7479942544        0.4956624032
        5.7945619401        0.4990857888
        5.8411296257        0.5025726861
        5.8876973114        0.5066591616
        5.9342649970        0.5109040245
        5.9808326826        0.5155593766
        6.0274003683        0.5208901307
        6.0739680539        0.5269523133
        6.1205357396        0.5335969588
        6.1671034252        0.5406402174
        6.2136711109        0.5488501536
        6.2602387965        0.5581886902
        6.3068064822        0.5683071307
        6.3533741678        0.5789674266
        6.3999418534        0.5925644735
        6.4465095391        0.6089501078
        6.4930772247        0.6292228044
        6.5396449104        0.6529398655
        6.5862125960        0.6963744434
        6.6327802817        0.7494324270
