x,y_obs,y_calc,y_bkg,struct_Li3PO4,struct_LiFePO4
60.4,0.01,0.01,-0.0,0.0,0.01
60.45,0.01,0.01,-0.0,0.0,0.01
60.5,0.01,0.0,-0.0,0.0,0.0
60.55,0.01,0.0,-0.0,0.0,0.0
60.6,0.0,0.0,-0.0,0.0,0.0
60.65,0.0,0.0,-0.0,0.0,0.0
60.7,0.0,0.0,-0.0,0.0,0.0
60.75,0.0,0.0,-0.0,0.0,0.0
60.8,0.0,0.0,-0.0,0.0,0.0
60.85,0.0,0.0,-0.0,0.0,0.0
60.9,0.0,0.0,-0.0,0.0,0.0
60.95,0.0,0.0,-0.0,0.0,0.0
61.0,0.0,0.0,-0.0,0.0,0.0
61.05,0.0,0.0,-0.0,0.0,0.0
61.1,0.01,0.0,-0.0,0.0,0.0
61.15,0.01,0.0,-0.0,0.0,0.0
61.2,0.01,0.0,-0.0,0.0,0.0
61.25,0.01,0.01,-0.0,0.0,0.01
61.3,0.01,0.01,-0.0,0.0,0.01
61.35,0.01,0.01,-0.0,0.0,0.01
61.4,0.01,0.01,-0.0,0.0,0.01
61.45,0.01,0.01,-0.0,0.0,0.01
61.5,0.01,0.01,-0.0,0.0,0.01
61.55,0.01,0.02,-0.0,0.0,0.02
61.6,0.01,0.02,-0.0,0.0,0.02
61.65,0.01,0.03,-0.0,0.0,0.03
61.7,0.02,0.03,-0.0,0.0,0.03
61.75,0.02,0.04,-0.0,0.0,0.04
61.8,0.03,0.06,-0.0,0.0,0.06
61.85,0.04,0.07,-0.0,0.0,0.08
61.9,0.06,0.1,-0.0,0.0,0.1
61.95,0.08,0.12,-0.0,0.0,0.12
62.0,0.11,0.15,-0.0,0.0,0.15
62.05,0.15,0.18,-0.0,0.0,0.18
62.1,0.18,0.21,-0.0,0.0,0.21
62.15,0.21,0.24,-0.0,0.0,0.24
62.2,0.23,0.25,-0.0,0.0,0.25
62.25,0.24,0.27,-0.0,0.0,0.27
62.3,0.25,0.28,-0.0,0.0,0.28
62.35,0.25,0.28,-0.0,0.0,0.28
62.4,0.25,0.29,-0.0,0.0,0.29
62.45,0.25,0.29,-0.0,0.0,0.29
62.5,0.25,0.28,-0.0,0.0,0.28
62.55,0.25,0.28,-0.0,0.0,0.28
62.6,0.25,0.27,-0.0,0.0,0.27
62.65,0.24,0.26,-0.0,0.0,0.26
62.7,0.23,0.25,-0.0,0.0,0.25
62.75,0.2,0.23,-0.0,0.0,0.23
62.8,0.17,0.2,-0.0,0.0,0.21
62.85,0.14,0.18,-0.0,0.0,0.18
62.9,0.11,0.15,-0.0,0.0,0.15
62.95,0.08,0.12,-0.0,0.0,0.12
63.0,0.05,0.1,-0.0,0.0,0.1
63.05,0.04,0.08,-0.0,0.0,0.08
63.1,0.02,0.06,-0.0,0.0,0.06
63.15,0.02,0.05,-0.0,0.0,0.05
63.2,0.01,0.03,-0.0,0.0,0.04
63.25,0.01,0.03,-0.0,0.0,0.03
63.3,0.01,0.02,-0.0,0.0,0.02
63.35,0.01,0.02,-0.0,0.0,0.02
63.4,0.01,0.01,-0.0,0.0,0.01
63.45,0.01,0.01,-0.0,0.0,0.01
63.5,0.01,0.01,-0.0,0.0,0.01
63.55,0.01,0.01,-0.0,0.0,0.01
63.6,0.01,0.01,-0.0,0.0,0.01
63.65,0.01,0.01,-0.0,0.0,0.01
63.7,0.01,0.0,-0.0,0.0,0.01
63.75,0.01,0.0,-0.0,0.0,0.01
63.8,0.01,0.0,-0.0,0.0,0.01
63.85,0.01,0.0,-0.0,0.0,0.01
63.9,0.01,0.0,-0.0,0.0,0.01
63.95,0.01,0.0,-0.0,0.0,0.01
64.0,0.01,0.0,-0.0,0.0,0.01
64.05,0.01,0.01,-0.0,0.0,0.01
64.1,0.01,0.01,-0.0,0.0,0.01
64.15,0.01,0.01,-0.0,0.0,0.01
