2theta,intensity,b1,b2,h,k,l,phase,phase_idx
16.82015581546479,0.00016813657789237847,0.0,7.100421696000001e-13,0,1,0,Li3PO4,0
22.32985233605698,0.000531637902336863,0.0,2.1880326399999997e-12,1,1,0,Li3PO4,0
23.703533610318793,0.0005248375412205149,0.0,2.7705602499999996e-12,-1,0,1,Li3PO4,0
25.147569534900807,0.0002974048015560305,0.0,3.4991443599999997e-12,0,-1,1,Li3PO4,0
29.18662440242871,9.554948476806314e-05,0.0,6.286051839999999e-12,-1,-1,1,Li3PO4,0
29.417413588846664,7.740622870951214e-05,0.0,6.483134439999999e-12,2,0,0,Li3PO4,0
34.05724581539179,0.000328024254667893,0.0,1.148396544e-11,2,1,0,Li3PO4,0
33.96271863038331,0.00018226461394839949,0.0,1.136094436e-11,0,2,0,Li3PO4,0
37.63292466865133,0.0002575044676936165,0.0,1.6908544e-11,0,0,-2,Li3PO4,0
37.13288186133142,8.01865927015053e-06,0.0,1.605685041e-11,1,2,0,Li3PO4,0
39.05531661371802,0.00019420199093007524,0.0,1.950812224e-11,-2,-1,1,Li3PO4,0
38.97134542028112,9.554950328475147e-05,0.0,1.9346802250000004e-11,0,-2,1,Li3PO4,0
41.46421801599556,5.280327975857606e-06,0.0,2.454806116e-11,0,-1,2,Li3PO4,0
41.814787085871046,2.5622963555426128e-05,0.0,2.5352232010000004e-11,-1,-2,1,Li3PO4,0
44.17491439469976,2.0059197038964743e-05,0.0,3.126151744e-11,-1,-1,2,Li3PO4,0
45.51108344312942,4.390547983977246e-08,0.0,3.5007338889999996e-11,2,2,0,Li3PO4,0
48.446008386720465,6.035904994174928e-06,0.0,4.433162724e-11,-2,0,2,Li3PO4,0
48.11021811202187,1.6551248715454345e-06,0.0,4.318461225e-11,3,1,0,Li3PO4,0
48.8266960410939,1.7633615109281417e-05,0.0,4.565569761e-11,-3,0,1,Li3PO4,0
49.544830584731635,2.5744144818604868e-05,0.0,4.8228858089999995e-11,-2,-2,1,Li3PO4,0
51.6274914131468,6.906225175997057e-05,0.0,5.6262000640000005e-11,-2,-1,2,Li3PO4,0
51.56006624337573,3.266208517184061e-05,0.0,5.598780625e-11,0,-2,2,Li3PO4,0
51.990987299726214,3.356255101886672e-05,0.0,5.7752400249999995e-11,-3,-1,1,Li3PO4,0
51.933004684596504,4.158585776955279e-06,0.0,5.751250569e-11,0,3,0,Li3PO4,0
53.87489294888055,8.128522606791427e-06,0.0,6.591978481e-11,-1,-2,2,Li3PO4,0
54.23661051004804,1.4661582210744814e-05,0.0,6.757333209e-11,1,3,0,Li3PO4,0
55.62037696026869,1.1053684037007505e-05,0.0,7.416137688999999e-11,0,-3,1,Li3PO4,0
57.31309375949846,1.8306560174900082e-05,0.0,8.280090025e-11,3,2,0,Li3PO4,0
57.8232130789961,1.918508230189912e-05,0.0,8.553105288999998e-11,-1,-3,1,Li3PO4,0
59.98608032945599,2.3471761567250576e-05,0.0,9.778243225e-11,-1,0,3,Li3PO4,0
60.67221735877848,1.5569337279783542e-05,0.0,1.0190902500000001e-10,0,-1,3,Li3PO4,0
60.45341520824884,5.791382867012707e-06,0.0,1.00580841e-10,-2,-2,2,Li3PO4,0
60.970824143151525,5.8324986216032605e-05,0.0,1.03734225e-10,4,0,0,Li3PO4,0
60.78120982410755,1.0592769875544481e-05,0.0,1.02556129e-10,-3,-2,1,Li3PO4,0
60.789422481445776,0.00011637073203810372,0.0,1.026169e-10,2,3,0,Li3PO4,0
62.76321196693034,7.517861457083172e-06,0.0,1.1515436099999999e-10,-1,-1,3,Li3PO4,0
62.608206692490555,9.52284727432036e-06,0.0,1.1414785599999999e-10,-3,-1,2,Li3PO4,0
63.722803968252464,6.835111530803719e-06,0.0,1.21594729e-10,4,1,0,Li3PO4,0
64.14324259294939,1.0509859731262232e-06,0.0,1.2450096400000002e-10,-2,-3,1,Li3PO4,0
65.8596442696445,3.001992606008603e-06,0.0,1.3679641599999998e-10,0,-3,2,Li3PO4,0
66.99450151757351,1.0781850445021853e-05,0.0,1.45323025e-10,-4,-1,1,Li3PO4,0
67.86189148165431,6.5667920986239155e-06,0.0,1.52078224e-10,-1,-3,2,Li3PO4,0
68.82190090419546,8.841448671251338e-05,0.0,1.59794881e-10,-2,-1,3,Li3PO4,0
68.7652492031032,4.1094646210745426e-05,0.0,1.5931488400000002e-10,0,-2,3,Li3PO4,0
70.7276498608646,9.656325322833878e-06,0.0,1.75801081e-10,-1,-2,3,Li3PO4,0
70.58170943180319,4.283046157048551e-06,0.0,1.7453052099999997e-10,-3,-2,2,Li3PO4,0
70.89180561659889,1.6291862774382914e-06,0.0,1.77235969e-10,3,3,0,Li3PO4,0
71.63274447663854,1.3670705000070476e-05,0.0,1.83738025e-10,4,2,0,Li3PO4,0
71.41000798140385,4.207587566027245e-06,0.0,1.8176432400000002e-10,0,4,0,Li3PO4,0
73.87798007459602,2.4946181971794788e-05,0.0,2.04404209e-10,-4,0,2,Li3PO4,0
73.71299345548601,4.954337964425546e-05,0.0,2.02834564e-10,-2,-3,2,Li3PO4,0
73.34164675665811,1.0981858048113339e-05,0.0,1.99346161e-10,1,4,0,Li3PO4,0
74.01025989907245,2.2007531019841615e-05,0.0,2.05664281e-10,-3,-3,1,Li3PO4,0
74.73881376878553,1.0962419888341439e-05,0.0,2.1266388900000003e-10,-4,-2,1,Li3PO4,0
75.92731354899725,1.1807635621235438e-05,0.0,2.24430361e-10,-3,0,3,Li3PO4,0
74.51973727553698,7.573810303623611e-06,0.0,2.105401e-10,0,-4,1,Li3PO4,0
76.48662053390365,1.1294987757002515e-05,0.0,2.30098561e-10,-2,-2,3,Li3PO4,0
76.3993095357629,2.5102045467484746e-06,0.0,2.29189321e-10,-4,-1,2,Li3PO4,0
76.42142570781954,3.1351611285985233e-06,0.0,2.2943160900000002e-10,-1,-4,1,Li3PO4,0
78.4265466801211,4.477547665473486e-06,0.0,2.5036732900000004e-10,-3,-1,3,Li3PO4,0
80.26390210295263,6.819531834218032e-07,0.0,2.70536704e-10,0,0,-4,Li3PO4,0
79.03075666042083,3.0285845352563744e-06,0.0,2.5689678399999997e-10,2,4,0,Li3PO4,0
81.16737319904793,1.2893601813285214e-05,0.0,2.80763536e-10,5,1,0,Li3PO4,0
81.39976968441044,1.8994285230821065e-06,0.0,2.83450896e-10,0,-3,3,Li3PO4,0
81.70938087964474,1.398412399009645e-05,0.0,2.8703136400000003e-10,-5,0,1,Li3PO4,0
82.72772016744655,8.68772782306672e-07,0.0,2.9897868100000004e-10,0,-1,4,Li3PO4,0
82.04465697429887,1.7457238198698612e-05,0.0,2.9090713600000003e-10,-2,-4,1,Li3PO4,0
83.25705780353866,1.5114889844365786e-05,0.0,3.0527078400000006e-10,-1,-3,3,Li3PO4,0
83.11840736193206,7.49110760837891e-07,0.0,3.03630625e-10,-3,-3,2,Li3PO4,0
84.5796965266318,7.026961886675064e-06,0.0,3.21377329e-10,-1,-1,4,Li3PO4,0
83.82451178375771,6.580346177947102e-06,0.0,3.1212288899999996e-10,-4,-2,2,Li3PO4,0
84.16468704595806,1.220619593463214e-06,0.0,3.1627065600000005e-10,-5,-1,1,Li3PO4,0
83.61202569020443,2.6659043131271524e-06,0.0,3.0954883600000006e-10,0,-4,2,Li3PO4,0
84.11881049690955,5.055072146415896e-06,0.0,3.1570182399999997e-10,4,3,0,Li3PO4,0
85.8109147552411,9.430147506680794e-06,0.0,3.3675920100000003e-10,-3,-2,3,Li3PO4,0
85.46102881988678,4.235210065354056e-06,0.0,3.3236936099999995e-10,-1,-4,2,Li3PO4,0
87.67220488554628,5.92214580327122e-06,0.0,3.6077203600000005e-10,-2,0,4,Li3PO4,0
87.10021893192213,1.9745462603159717e-06,0.0,3.53289616e-10,-4,-3,1,Li3PO4,0
88.5114089539502,7.351940777643738e-08,0.0,3.71872656e-10,5,2,0,Li3PO4,0
88.79397329239173,5.911518012467849e-07,0.0,3.756619239999999e-10,-2,-3,3,Li3PO4,0
88.30013186163538,1.516509603418272e-05,0.0,3.6906252099999997e-10,3,4,0,Li3PO4,0
90.10912562087216,5.700049335224358e-07,0.0,3.93506569e-10,-2,-1,4,Li3PO4,0
90.05632715188032,6.650068813958311e-07,0.0,3.92753124e-10,0,-2,4,Li3PO4,0
17.363759639319728,0.2081090232394443,0.00055109,6.451623683999999e-09,2,0,0,LiFePO4,1
20.98511177529241,0.4283572904558982,0.00055109,1.36936804e-08,1,0,1,LiFePO4,1
22.91186423289672,0.1451705953556693,0.00055109,1.93933476e-08,2,1,0,LiFePO4,1
24.25728011871476,0.04394717636802732,0.00055109,2.42985744e-08,0,1,1,LiFePO4,1
25.7943526552976,0.49143856623389087,0.00055109,3.09619216e-08,1,1,1,LiFePO4,1
25.891336782707047,0.09138077097323218,0.00055109,3.1421107599999995e-08,2,0,1,LiFePO4,1
29.935903379584413,0.44644633138474205,0.00055109,5.5573347599999996e-08,0,2,0,LiFePO4,1
